NÉV;CH
Árpagyöngy;75
Búza, teljes;66,2
Búzacsíra;42
Búzadara;73,4
Búzakeményítő;86,1
Búzakorpa;51
búzaliszt (finom, rétes);76,3
Burgonyakeményítő;83,1
Édesburgonya(főtt);20,1
Cornflakes;79,7
Graham liszt;64,4
Hajdina;70
Köles;70,6
Kukoricaliszt, -dara;70,2
Kukoricakeményítő;85,9
Nephropan kenyérpor;86
Müzlikeverék, natúr;64,1
Rizs (nyers);77,5
Rizs (fényezett, hántolt);77,5
Rizs (barna);53,3
Főtt rizs (barna) 180g;30
Rizskeményítő;85
Rizsliszt;79,4
Rozsliszt;66,6
Rizs (nyers, fehér);77,5
Főtt rizs 180g;42
Főtt rizs 250g;57,5
Sült krumpli 15dkg;60
Tönkölyliszt (fehér);67,8
Tönkölyliszt;63,9
Vadrizs;74,2
Zabkorpa;57
Zabliszt;65,8
Zabpehely;64,3
Zsemlemorzsa;73,7
Édesburgonya (főtt);20,1
