NÉV;CH;fehérje;zsír
Anikó sajt;1,8;24,2;26
Camembert (bakonyi);1,5;21,05;23
Edámi sajt;1,7;26,2;26,6
Ementáli (Pannónia);1,5;27,8;29,4
Habtejszín;3;2,6;30
Hóvirág sajt;2;21;23,4
Író;3,3;2,7;1,5
Joghurt, aludttej, kefir;4,6;3,4;3,6
Juhtej;5;6,1;7,2
Juhtúró, gomolya;3;18,2;21,1
Karaván sajt;1,9;22,3;27,3
Kávétejszín;4,9;3,3;15
Kecsketej;4,7;3,6;3,9
Köményes sajt;1,6;30,5;10
Mackó sajt (1db 40g);0,8;6,7;10
Óvári sajt;1,7;29,6;18,5
Parmezán Jellegű sajtok;1,6;26,8;28,9
Tehéntej (1,5%);5,3;3,4;1,5
Tehéntej (2,8%);5,3;3,4;2,8
Tehéntúró (félzsíros);3,7;16,2;7
Tejföl (12%);4;3,4;12
Tejföl (20%);3,9;3,3;20
Tejszín krémsajt;3,1;8;26,2
Trappista sajt;1,6;27,7;28,1
Túra sajt;2;25,7;8,4
