NÉV;CH
Articsóka;9,5
Bimbós kel;6,1
Brokkoli;2,1
Burgonya (nyári);18,4
Burgonya (téli);20
Céklarépa;5,9
Cukkini;5,3
Csicsóka;4
Endívia saláta;0,9
Fejes saláta;2
Fehérkáposzta;6
Fekete retek;5,1
Fokhagyma;26,3
Kapor;10,2
Káposzta (fejes);5,7
Káposzta (savanyított);2,4
Kínai kel;2
Karalábé;6,9
Karfiol;3,9
Kelkáposzta;4,3
Kukorica (teljes);23,6
Mángold;3
Metélőhagyma;1,6
Póréhagyma;6,3
Padlizsán;4,8
Paradicsom;4
Paraja (spenót);1,8
Patisszon;6,2
Petrezselyem zöldje;9,8
Petrezselyemgyökér;5,9
Rebarbara;3,3
Retek, hónapos;2,2
Sárgarépa;8,1
Sóska;2,3
Spenót;2
Sütőtök;16,5
Spárga;1,8
Tök (főző);6,1
Torma;15,9
Uborka;1,7
Vöröshagyma;8,3
Zöldbab;6,8
Zöldborsó;14
Zöldpaprika;3
Zellergumó;5
