2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2532613.0 |KezdésIdeje: 8:55:14 |BefejezésIdeje: 8:55:33 |Eltelido: 0:0:19 |Előzmények: Nem voltak |Kilépési szándék: 02021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2325684.0 |KezdésIdeje: 8:56:43 |BefejezésIdeje: 8:56:45 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2467599.0 |KezdésIdeje: 8:59:9 |BefejezésIdeje: 8:59:12 |Eltelido: 0:0:3 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2467885.0 |KezdésIdeje: 8:59:20 |BefejezésIdeje: 8:59:23 |Eltelido: 0:0:3 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2570192.0 |KezdésIdeje: 8:59:55 |BefejezésIdeje: 9:0:2 |Eltelido: 1:-59:-53 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 1795339.0 |KezdésIdeje: 9:0:18 |BefejezésIdeje: 9:0:21 |Eltelido: 0:0:3 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2201541.0 |KezdésIdeje: 9:0:30 |BefejezésIdeje: 9:0:32 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2626075.0 |KezdésIdeje: 9:7:2 |BefejezésIdeje: 9:7:12 |Eltelido: 0:0:10 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2355662.0 |KezdésIdeje: 9:7:25 |BefejezésIdeje: 9:7:31 |Eltelido: 0:0:6 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2513915.0 |KezdésIdeje: 9:8:11 |BefejezésIdeje: 9:8:18 |Eltelido: 0:0:7 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2571532.0 |KezdésIdeje: 10:15:43 |BefejezésIdeje: 10:28:27 |Eltelido: 0:13:-16 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2114433.0 |KezdésIdeje: 10:32:6 |BefejezésIdeje: 10:32:12 |Eltelido: 0:0:6 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2408172.0 |KezdésIdeje: 10:33:37 |BefejezésIdeje: 10:33:45 |Eltelido: 0:0:8 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2085109.0 |KezdésIdeje: 10:34:17 |BefejezésIdeje: 10:34:23 |Eltelido: 0:0:6 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2291038.0 |KezdésIdeje: 10:36:6 |BefejezésIdeje: 10:36:8 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2564392.0 |KezdésIdeje: 10:36:21 |BefejezésIdeje: 10:36:26 |Eltelido: 0:0:5 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2536267.0 |KezdésIdeje: 10:36:47 |BefejezésIdeje: 10:36:55 |Eltelido: 0:0:8 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2472644.0 |KezdésIdeje: 10:37:16 |BefejezésIdeje: 10:37:23 |Eltelido: 0:0:7 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2581002.0 |KezdésIdeje: 10:38:21 |BefejezésIdeje: 10:38:28 |Eltelido: 0:0:7 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2522926.0 |KezdésIdeje: 10:38:47 |BefejezésIdeje: 10:38:55 |Eltelido: 0:0:8 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2599211.0 |KezdésIdeje: 10:41:13 |BefejezésIdeje: 10:53:54 |Eltelido: 0:12:41 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólső mérete: 960X540 |Használtmemória: 2196030.0 |KezdésIdeje: 11:1:53 |BefejezésIdeje: 11:1:56 |Eltelido: 0:0:3 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólsó mérete: 960X540 |Használtmemória: 2553154.0 |KezdésIdeje: 13:39:8 |BefejezésIdeje: 13:40:28 |Eltelido: 0:1:20 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:04 |Ablak utólsó mérete: 960X540 |Használtmemória: 2283400.0 |KezdésIdeje: 13:41:39 |BefejezésIdeje: 13:41:49 |Eltelido: 0:0:10 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:07 |Ablak utólsó mérete: 960X540 |Használtmemória: 2582761.0 |KezdésIdeje: 16:13:8 |BefejezésIdeje: 16:16:9 |Eltelido: 0:3:1 |Előzmények: Zsemle 1db (54g)/Angolna/Angolna/Dabasi rozsos kenyér |Kilépési szándék: 0
2021:04:07 |Ablak utólsó mérete: 960X540 |Használtmemória: 2512022.0 |KezdésIdeje: 16:21:52 |BefejezésIdeje: 16:22:2 |Eltelido: 0:1:-50 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:07 |Ablak utólsó mérete: 960X540 |Használtmemória: 2367914.0 |KezdésIdeje: 16:22:40 |BefejezésIdeje: 16:22:47 |Eltelido: 0:0:7 |Előzmények: Cserkészkolbász |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 1984586.0 |KezdésIdeje: 9:45:8 |BefejezésIdeje: 9:45:17 |Eltelido: 0:0:9 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2302131.0 |KezdésIdeje: 16:23:58 |BefejezésIdeje: 16:24:0 |Eltelido: 0:1:-58 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2137078.0 |KezdésIdeje: 16:24:21 |BefejezésIdeje: 16:24:22 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2139257.0 |KezdésIdeje: 16:24:40 |BefejezésIdeje: 16:24:42 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2352165.0 |KezdésIdeje: 16:25:22 |BefejezésIdeje: 16:25:23 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2611837.0 |KezdésIdeje: 16:27:10 |BefejezésIdeje: 16:27:13 |Eltelido: 0:0:3 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 1937764.0 |KezdésIdeje: 16:38:57 |BefejezésIdeje: 16:39:1 |Eltelido: 0:1:-56 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2574448.0 |KezdésIdeje: 16:39:13 |BefejezésIdeje: 16:39:15 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2026734.0 |KezdésIdeje: 16:49:22 |BefejezésIdeje: 16:49:24 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2137344.0 |KezdésIdeje: 16:49:22 |BefejezésIdeje: 16:49:25 |Eltelido: 0:0:3 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2117653.0 |KezdésIdeje: 16:49:22 |BefejezésIdeje: 16:49:26 |Eltelido: 0:0:4 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2088133.0 |KezdésIdeje: 16:50:24 |BefejezésIdeje: 16:50:26 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2636232.0 |KezdésIdeje: 16:50:53 |BefejezésIdeje: 16:50:54 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2349953.0 |KezdésIdeje: 16:51:13 |BefejezésIdeje: 16:51:16 |Eltelido: 0:0:3 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2554632.0 |KezdésIdeje: 16:52:56 |BefejezésIdeje: 16:52:58 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2116665.0 |KezdésIdeje: 16:53:40 |BefejezésIdeje: 16:53:42 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2574798.0 |KezdésIdeje: 16:54:2 |BefejezésIdeje: 16:54:4 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2025889.0 |KezdésIdeje: 16:54:39 |BefejezésIdeje: 16:54:41 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2077246.0 |KezdésIdeje: 16:59:20 |BefejezésIdeje: 16:59:22 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2526641.0 |KezdésIdeje: 16:59:58 |BefejezésIdeje: 17:0:0 |Eltelido: 1:-59:-58 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2525365.0 |KezdésIdeje: 17:0:26 |BefejezésIdeje: 17:0:28 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2623991.0 |KezdésIdeje: 17:0:58 |BefejezésIdeje: 17:1:0 |Eltelido: 0:1:-58 |Előzmények: Nem voltak |Kilépési szándék: 0
